# 科目|章.节|讲义PDF页码(起-止)|考点|学习要点。人工整理，生成器不会从题目或关键词推断章名。
科目二|16.2|155-156|基金与投资者税收|分别识别基金投资活动和投资者买卖、申赎及分红的税收；机构与个人适用所得税规则不同，股票交易税费与基金份额交易税费也不同。具体计算按题设与适用期间口径。
科目二|17.1|156-158|披露作用、原则与禁止行为|披露服务价值判断、风险防范和市场效率；遵循真实、准确、完整、及时等要求。禁止虚假记载、误导、重大遗漏及违规预测收益、承诺收益。
科目二|17.2|158-159|管理人与托管人义务|管理人编制披露资料，托管人复核相关净值、价格及报告并出具意见；不同主体发生重大事项时分别履行临时披露义务。
科目二|17.3|159-161|募集披露文件|基金合同约定当事人权利义务，托管协议约定管理与托管分工；招募说明书和产品资料概要帮助投资者了解产品、费用与风险，注册不代表收益保证。
科目二|17.4|161-163|净值、偏离度与定期报告|普通基金披露净值，货币基金披露每万份收益和7日年化收益率等；影子定价与摊余成本偏离达到阈值时须按规定公告并调整。季报、中期报告、年报的内容与要求不同。
科目二|17.4|163-165|临时、澄清与清算公告|持有人大会、合同终止、管理托管人变更、重大诉讼、净值错误等可能触发临时披露；传闻影响价格或投资者权益时应依法澄清，清算结果按规定报告。
科目二|17.5|165-166|特殊基金披露|QDII补充境外顾问、托管及投资风险信息，ETF披露申赎清单等资料，基础设施基金重点披露项目、原始权益人及运营信息。
科目二|17.6|166|私募基金披露|私募基金依法律及合同向投资者披露，并按规定报送重大事项；不能将公募面向社会公开披露的要求直接套用于私募。
科目二|18.1|166-169|投资者分类与需求|区分个人、机构、专业、普通及合格投资者；收益目标有绝对和相对口径，长期投资者关注实际购买力。投资限制涉及流动性、期限、税收、法律及特殊需求。
科目二|18.1|169-170|风险能力、意愿与适当性|风险承受能力与承担意愿不同；评估财务、经验、目标和期限等，再匹配C1-C5投资者与R1-R5产品风险等级，不能把签署声明当作免除销售责任。
科目二|18.2|170-171|销售渠道与策略|区分管理人直销、银行、证券、保险及独立销售等渠道；产品、价格、渠道和促销策略各有作用，递减赎回费等价格安排可引导长期持有。
科目二|18.2|171|销售业务规范|明示身份、真实宣传、充分揭示风险、公平对待投资者并保护信息；不得预测未来业绩、承诺保本收益、私下接受资金或泄露交易信息。
科目二|18.3|171-172|服务与投资者教育|服务贯穿投资前、中、后，具有专业、持续等特点；教育包括投资决策、资产配置及权益保护，引导理性选择并帮助投资者维护权益。
