# 科目|考点（稳定匹配键）|一句白话（解释机制）|浓缩要点（保留考试术语，^^分段）；详细讲义内容另行展开。
科目二|相对收益与捕获率|不仅看跑赢多少，还看市场涨跌时分别跟上了多少。|算术相对收益作差，几何相对收益比较增长倍数。**上行／下行捕获率**分别在基准上涨／下跌子期比较收益，通常上行高、下行低更有利。
科目二|风险调整收益|把多赚的钱除以承担的风险，先问分母到底是哪种风险。|**夏普**用总波动，**特雷诺**用β，**信息比率**用跟踪误差，**索提诺**用下行标准差，**卡玛**用最大回撤。分子、分母口径与频率必须匹配。
科目二|选股与择时能力|买对公司和选对进出市场的时点，是两种不同能力。|**选股**寻找低估证券；**择时**调整市场风险暴露；用评价模型分辨收益来源，单次跑赢不能证明能力稳定。
科目二|业绩归因|先知道赚了多少，再拆解是配置得好还是选得好。|**绝对归因**解释总收益贡献；**相对归因**解释超额收益。Brinson分配置、选择、交互效应；Campisi用于债券组合。
科目二|基金风格分析|基金承诺的风格与实际做法，要能对得上。|风格由**产品契约与经理决策**共同形成；可用持仓或历史收益分析。**风格漂移**是实际风格偏离原定位，并不必然等于违规。
科目二|管理人综合评价|一只基金一时赚得好，不能代表整家公司一直管得好。|综合考察**合规、治理、人员投研、风控、运营、投资者服务**，结合长期记录评估组织能力。
科目二|基金评价业务体系|先把可比的基金放在一起，再谈排名与好坏。|原则：**长期、公正、全面、客观、一致、公开**。分类→指标评价→风险调整→结果解释；跨类型直接排名可能失真。
科目二|GIPS与收益口径|大家按同样的记账和收益算法，业绩才有可比性。|**GIPS**强调准确、一致、可比；总收益、时间加权、子期几何连接，按规定扣交易费用，采用权责发生制与交易日会计。
科目二|募集、合同生效与认购|认购是基金正式运作前买份额，先分清费用和利息怎样进入份额。|**注册→发售→达到条件→验资备案→合同生效**；认购发生在募集期。净认购金额与规定计入的利息折算份额，区分内扣／外扣收费。
科目二|不同产品认购|不同基金的认购渠道、可用资产和货币，不一定相同。|开放式、封闭式、ETF、QDII、基础设施基金分别适用发售规则；**QDII**可使用人民币、美元或其他主要外汇货币募集，募集币种不等于资产币种。
科目二|交易、申赎与巨额赎回|买时报投入多少钱，卖时报赎回多少份，成交净值通常当时还不知道。|开放式基金通常**金额申购、份额赎回、未知价**；一般净赎回**超过**上一开放日总份额**10%**构成巨额赎回，按规则全额或部分延期办理。
科目二|转换、非交易过户及特殊申赎|换基金、因继承改登记，与直接买卖基金不是一回事。|**转换**通常有转出赎回费与适用申购费差额；**非交易过户**可由继承、司法执行等引起。ETF、LOF、货币、QDII分别看特殊规则。
科目二|私募资管计划参与退出|只有符合条件的人，才能在约定的窗口进出。|向合格投资者非公开募集、按规定成立备案；按合同开放期参与／退出，份额转让也受**适格性与合同条件**约束。
科目二|私募证券基金募集备案|私募先识别人和揭示风险，再签约募集，完成后备案。|**对象确认→风险匹配与揭示→资格审核→签约募集→备案**；禁止公开推介或规避门槛，申赎转让依合同及适用规则。
科目二|份额登记与资金结算|记下你拥有多少份，与把钱划到位，是配合进行的两件事。|登记机构负责**账户、份额登记、交易确认、权益记录**；资金结算另行办理。价格由管理人计算、托管人复核，登记机构不负责投资定价。
科目二|场内交易结算|先算谁欠谁多少，再真正把钱和证券交过去。|交易所组织交易，中国结算登记结算；**清算**算应收应付，**交收**完成转移。分级结算、共同对手方、净额／逐笔、货银对付分别描述不同机制。
科目二|费用与除权除息|分红或股数变化后，要把比较价格调整到同一口径。|费用分佣金、过户费、经手费、监管费及适用税费；收费方向与上限依规则。**除权除息参考价**同时考虑红利、配股价和股本变化，并非成交保证价。
科目二|银行间交易制度与结算|交易报价、代办结算和央行公开市场交易，是不同岗位。|分清**做市商、结算代理、公开市场一级交易商**；中央结算公司、上海清算所分别承担相关业务。现券、回购、远期、借贷各看结算规则。
科目二|期货期权与港股通|账户里准备结算的钱，与已经被合约占住的钱，要分开看。|中金所实行会员、分级结算；**结算准备金未被合约占用，交易保证金已被占用**。港股通经境内券商及交易服务公司申报，交易与结算币种须区分。
科目二|海外交易与QDII结算|跨境多了一层机构和市场规则，但原来的责任并没有消失。|识别当地市场、境外顾问、托管、结算安排；境内管理人与托管人**不因委托境外机构免除责任**。时差、币种、清算周期分别处理。
科目二|资产净值与估值责任|先把欠的钱扣掉，再按总份数分，才得到每份值多少钱。|**资产净值**为资产总值扣负债；**份额净值**再除总份额。管理人负主要估值责任，托管人复核；委托服务机构不免除双方责任。
科目二|估值方法及差错|能看到可靠成交价时优先用它，看不到时才用合理估值方法。|优先使用**活跃市场可观察报价**，无合适报价时使用估值技术；差错、暂停估值、侧袋依适用规则与合同处理，不能随意选对自己有利的价格。
科目二|费用承担与计提|有的费用直接向投资者收，有的从基金共同财产里扣。|申购、赎回等由投资者承担；管理、托管、销售服务等由基金财产列支。**日计提**使用前一日基金资产净值、年费率与当年实际天数。
科目二|基金会计特点|基金是一套独立账，收入费用按归属期间记录，不只看钱何时到账。|**独立会计主体、独立建账核算、人民币记账、权责发生制**；管理人主要负责会计核算，托管人复核净值及相关报告。
科目二|基金财务报告分析|看基金报表，要看投资和份额变化，而不是套用实体企业经营指标。|资产负债表看结构，利润表看期间成果，净值变动表看净值增减；结合**持仓、份额与持有人变化、盈利、分红能力**分析。
科目二|利润构成与分配|净值上涨可能只是账面浮盈；分红是把财产分出去，不是凭空赚钱。|利润含利息、投资收益、公允价值变动等；**已实现收益≠本期利润**。现金分红减少基金资产，再投资增加持有份额，比较收益须统一分红口径。
科目二|货币基金收益权益|普通货币基金的收益资格，通常从下一交易日才随申赎改变。|普通货币基金：当日申购，**下一交易日**起享有；当日赎回，**下一交易日**起不享有。节前最后开放日申购不享假期收益，赎回仍享假期收益。
科目二|基金与投资者税收|先认清是谁在做哪种交易，再找对应税种和期间规则。|分清**基金／投资者、机构／个人、买卖／申赎／分红**；股票交易税费不能直接套到基金份额。计算按题设和适用期间口径。
科目二|披露作用、原则与禁止行为|投资者看不到日常管理，只能靠可靠的信息判断钱管得怎样。|披露须**真实、准确、完整、及时**，支持价值判断与风险防范；禁止虚假、误导、重大遗漏、违规预测或承诺收益。
科目二|管理人与托管人义务|编制信息与复核信息，各自有责任，不能互相替代。|管理人编制披露资料；托管人复核**净值、价格、报告**等并出具意见。不同主体发生重大事项时，分别履行临时披露义务。
科目二|募集披露文件|不同文件分别告诉你权利义务、机构分工和产品风险。|**基金合同**约定当事人权责；**托管协议**约定管理与托管分工；**招募说明书、产品资料概要**说明产品、费用、风险。注册不代表收益保证。
科目二|净值、偏离度与定期报告|净值是当下价格信息，定期报告解释一段时间怎样运作。|普通基金披露净值，货币基金披露每万份收益、7日年化等；**影子定价与摊余成本偏离**按阈值处理。季报、中期、年报内容与要求不同。
科目二|临时、澄清与清算公告|重大变化及时说，影响权益的传闻要澄清，退出时交代结果。|**临时披露**回应大会、终止、主体变更、诉讼、净值差错等重大事项；**澄清公告**回应影响价格或权益的传闻；**清算报告**交代终止处理结果。
科目二|特殊基金披露|产品有什么特殊风险，就要额外说明哪部分信息。|**QDII**披露境外顾问、托管和风险；**ETF**披露申赎清单等；**基础设施基金**披露项目、原始权益人与运营信息。
科目二|私募基金披露|不公开募集，不代表可以不向投资者交代情况。|依法依合同**向投资者披露**，按规定报送重大事项；不能把公募面向社会公开披露的要求直接套用于私募。
科目二|投资者分类与需求|先问投资者想要什么、受到什么约束，再谈买什么。|区分个人／机构、普通／专业、合格投资者；目标分**绝对／相对收益**，长期关注实际购买力；约束看流动性、期限、税收、法律、特殊需求。
科目二|风险能力、意愿与适当性|想冒险，不代表承受得起亏损。|**风险承受能力≠承担意愿**；结合财务、经验、目标、期限评估，匹配C1—C5投资者与R1—R5产品。签风险声明不能免除销售责任。
科目二|销售渠道与策略|通过谁销售，与用怎样的产品、价格和推广方式销售，要分别设计。|渠道包括直销、银行、证券、保险、独立销售等；策略看**产品、价格、渠道、促销**。递减赎回费等可引导长期持有。
科目二|销售业务规范|销售要把身份、风险和费用讲清楚，不能用收益承诺换成交。|明示身份、真实宣传、充分揭示风险、公平对待、保护信息；禁止**预测未来业绩、承诺保本收益、私下收资金、泄露交易信息**。
科目二|服务与投资者教育|好的服务贯穿买之前、持有中和退出后，帮助投资者自己作判断。|服务须专业、持续；教育围绕**投资决策、资产配置、权益保护**，引导理性选择并帮助维护合法权益。
