# 科目|考点|补充必背（用^^分条）|易混易错|理解速记；复习优先级不代表考试命题频率，例子为辅助理解。
科目一|公募与私募文化实践|公募文化四词为合规、诚信、专业、稳健；具体落实于制度治理、长期考核、投教、声誉管理和社会责任。^^私募十个坚守涉及初心使命、主体责任、合规经营、诚实信用、专业精神、长期理念、声誉约束、廉洁从业、以德立身、行稳致远。|四词公募文化、五组中国特色金融文化、六项职业道德和十个坚守是不同清单，不能混答。|用数量定位：“五组文化、四词公募、六项道德、十个坚守”，再按题干所属体系展开。
科目一|诚信档案与监管|违法处罚等相关信息效力期限按讲义为5年，严重违法失信主体专项公示期为1年；符合条件且材料齐备的查询5个工作日内反馈，更正申请15个工作日内处理。^^禁止采集宗教信仰、基因、指纹、血型、疾病和病史等；证监会及派出机构、行业组织、管理人分别承担监管、自律和内部诚信管理职责。|档案效力期限5年不等于专项公示1年；有错误可依程序申请更正，不代表当事人可自行删除记录。|数字记“效力5年、公示1年、查询5工作日、更正15工作日”，先看题目问的是保存、公开还是办理期限。
科目二|证券投资基金与当事人|基金以集合投资形成独立财产，管理人依合同进行投资，持有人以所持份额享有收益并承担投资风险。^^三方分工：持有人出资并依法行使权利；管理人管理投资与核算；托管人保管财产、清算交割、复核和监督。|销售机构、登记机构、证监会及基金业协会不是基金合同三方当事人；买基金不是把财产变成管理人的自有资金。|记“持有人出资、管理人运作、托管人保管监督”，从三角关系理解后续募集、估值与披露职责。
科目二|特点及品种比较|基金的集合投资与专业管理降低个体研究成本；组合投资降低个别资产风险；独立托管形成财产保管和投资管理的制衡。^^股票体现所有权、债券体现债权债务、基金体现信托关系；收益与风险由基金的实际资产配置决定。|组合投资不能消除所有风险；所有基金都比股票安全、基金收益固定、银行代销即保本等说法均不能成立。|把特点配成四对：“集合/专业、组合/分散、共享/共担、独立/制衡”，比较时先看法律关系再看投向。
科目二|基金起源与全球趋势|1868年英国海外及殖民地政府信托为公认证券投资基金起源；1924年美国马萨诸塞投资信托代表开放式公司型基金。^^全球发展关注基金规模、产品多样化、指数化及跨境投资等变化，国家历史节点与产品机制要对应记忆。|英国是起源地不等于当今规模最大；“首只基金”与“开放式公司型代表”不可交换作答。|两张记忆卡：“英国1868—起源”“美国1924—开放式公司型”，趋势题再看产品与跨境业务。
科目二|中国基金产品演进|保本基金调整为避险策略基金；MOM由管理人组织多个投资顾问与资产单元，FOF则直接投资其他基金。^^QDII、互联互通、基金互认拓宽跨境渠道；基础设施REITs盘活存量资产，科技、绿色、普惠、养老、数字金融拓展服务方向。|避险策略不等于保本保证；MOM的多顾问资产单元与FOF的基金组合不同，跨境产品也不只有QDII。|按“产品创新、管理模式、跨境渠道、服务方向”四类整理，避免把不同维度的名词当成互斥类别。
科目二|基金分类的意义和标准|分类帮助投资者选择、管理人定位、评价机构作同类比较、监管部门制定相应规则。^^运作方式分开放/封闭；策略分主动/被动；法律形式分契约/公司/合伙；资金来源用途另区分在岸、离岸、国际基金等。|按投向分类的80%门槛，其分母在公募基金、私募基金和资管计划中可能不同，不能只记百分比而忽略资产口径。|先读题干“按什么分”，再选择答案；同一基金可同时是公募、开放式、股票型和被动型。
科目二|股票基金与风格|股票资产占基金资产80%以上；市值风格区分大中小盘，价值风格重估值与现金流，成长风格重未来增长。^^个股价格受单一公司和市场影响，基金净值是组合资产扣负债后按份额计算的结果；组合分散降低个股特有风险。|基金净值低不等于便宜、净值高不等于贵；股票基金也会受到整体市场风险，行业集中可能放大波动。|判断风格看持仓市值、估值和增长特征；不要仅凭基金名称或单位净值判断风险和投资价值。
科目二|债券基金特点|债券资产占基金资产80%以上，收益来自利息、债券价格变动及再投资；组合持续买卖和申赎使净值不断变化。^^久期衡量利率敏感性，信用质量与信用利差影响信用风险，集中度与资产可交易性影响流动性。|债券基金没有一只普通债券那样的固定到期还本安排，买债基不等于锁定票息；净值可以下跌。|记“债券有合同现金流，债基有组合净值”；先看久期、信用、杠杆，再判断债基风险。
科目二|货币市场基金|可投现金，1年以内含1年的存款、回购、央票、同业存单，以及剩余期限397天以内含397天的合规债券等。^^不得投股票、可转债、可交换债及信用等级AA+以下债券等；固定净值型常用摊余成本并配合影子定价，浮动净值型按市值反映波动。|固定净值显示不代表保本，7日年化不是未来固定收益；“场内申赎型”不必然允许二级市场买卖。|期限分两组背“存款回购等1年、债券等397天”；产品用途记短期现金管理，同时保留风险意识。
科目二|FOF与养老目标基金|公募FOF把80%以上基金资产投向其他公募基金；目标日期基金随日期临近逐步降低权益比例，目标风险基金围绕特定风险水平配置。^^内部FOF以本管理人基金为主，全市场FOF可跨管理人选基；选基需关注重复持仓、相关性和费用叠加。|FOF买了很多基金也可能集中于相同股票；目标日期基金不是到期保本产品，目标风险不是收益率承诺。|“日期”是随时间调整，“风险”是围绕风险目标调整；FOF分散程度要穿透子基金资产看。
科目二|混合基金|股债等投资比例不符合单一基金类型标准时归混合类；偏股、偏债、股债平衡和灵活配置具有不同配置约束。^^灵活配置赋予管理人一定调整空间，但仍须遵守合同、基准与风险控制；实际风险由权益比例、债券信用和杠杆等共同决定。|混合基金不保证风险永远介于所有股票基金和债券基金之间；“灵活”不表示可任意改变合同投向。|读混合基金先找“股票上限下限、债券类别、业绩基准”，再判断基金经理有哪些调整空间。
科目二|指数基金、ETF与联接基金|指数基金可完全复制或抽样复制；ETF兼有一级市场申赎和二级市场交易，申赎对价依产品规则可含证券、商品及现金替代。^^ETF联接投资目标ETF不低于基金资产净值90%；其管理人不得对联接财产中的目标ETF部分重复计提管理费。|联接90%不能写成FOF的80%；ETF二级市场价格与净值可能偏离，套利仍有交易、时点和执行成本。|ETF价格高于相应申购成本时，可理解为申购再卖出的套利方向；低于对应赎回价值时反向思考，实际须满足申赎条件。
科目二|QDII产品特征|QDII为合格境内机构投资者，境内募集、境外投资；可按单一市场、跨市场、全球市场或计价货币分类。^^风险除证券价格外，还含汇率、国别、新兴市场、跨境流动性与交易结算风险；不同币种份额净值受汇率换算影响。|人民币计价不等于没有汇率风险；QDII与QFII方向相反，境外投资也不等于全部购买美国股票。|记“D境内资金出去、F境外资金进来”；收益需要同时考虑底层资产涨跌与汇率变动。
科目二|基础设施REITs|结构为公募基金加基础设施资产支持证券，基金穿透持有项目产权或经营权；封闭运作并在交易所上市。^^收益分配比例不低于合并后基金年度可供分配金额90%，分母是可供分配金额，不是净利润、收入或净资产。|强制分红比例不保证固定分红金额；经营权类项目有权利期限，二级市场卖出也可能发生价格损失。|现金流链“项目经营→可供分配金额→基金分配→持有人”，注意把会计利润与可分配现金口径区分。
科目二|其他类型与交易模式|LOF可通过场外渠道申赎、场内交易，并通过转托管连接两端；上市封闭式份额持有人在合同存续期内不得申请赎回。^^MOM通常委托两个或以上合格投资顾问，并划分两个或以上独立资产单元，与直接持有其他基金份额的FOF不同。|“可上市买卖”不能推断“可向基金赎回”；ETF并非都只用股票实物对价，具体规则随产品而异。|按“找谁交易”区分：卖给市场其他投资者是买卖，交回基金换取对价是赎回。
科目二|三张主要财务报表|资产负债表是时点存量，利润表是期间收入减费用后的经营成果，现金流量表列经营、投资、筹资现金流。^^权责发生制下确认利润与收付现金可能不同；预收款通常先增加现金和相应负债，不必立即形成收入与利润。|净利润不等于经营现金流；借款增加现金并不增加利润，购置设备通常属于投资活动现金流。|背“时点看家底、期间看盈利、现金看流向”；每笔业务分别追踪资产、负债、利润、现金四个变化。
科目二|财务比率与杜邦分析|流动比率＝流动资产/流动负债；速动比率按题设从流动资产扣存货等后除流动负债；权益乘数＝1/(1-资产负债率)。^^存货周转率＝销售成本/平均存货，应收账款周转率＝销售收入/平均应收账款；ROE拆为利润率×周转率×权益乘数，分别对应盈利、效率、杠杆。|存货周转分子是成本，不是收入；ROE上升可能只是加杠杆，不代表经营改善；利息保障倍数用息税前利润/利息。|算例：ROE15%、利润率5%、周转率2，则权益乘数1.5，负债权益比0.5；先列公式再代入。
科目二|财务舞弊识别|常见手法是虚增或提前确认收入、推迟或少计费用、虚构或高估资产、隐藏或低估负债。^^综合检查收入与应收款、利润与现金流、毛利率与同行、关联交易与会计政策变化，比较多期数据。|单一异常只是线索，不能直接证明舞弊；财务分析能发现问题，不会直接改善经营，也不能单靠杜邦推断发展前景。|“利润很好但现金差”时追应收与收入确认；“负债很少”时查或有负债、关联安排和披露完整性。
科目二|现值、终值与利率|复利贴现PV＝FV/(1+r)^n；年名义利率r、每年计息m次时，有效年利率＝(1+r/m)^m-1。^^实际收益率＝(1+名义收益率)/(1+通胀率)-1，低利率时可近似为名义减通胀；不同期间现金流应统一到同一时点再相加。|利率5%须代入0.05；月利率不能直接搭配年数，实际收益率的精确式不等于简单相减。|例：100元两年5%复利得110.25元，单利得110元；区别在第一年的利息第二年是否继续计息。
科目二|即期与远期利率|即期利率为现在投资至某期限的收益率，远期利率为未来某段期间约定的利率；要明确起点、终点与计息方式。^^按年复利，(1+s₂)²＝(1+s₁)(1+f₁,₂)，故第二年的一年期远期利率＝(1+s₂)²/(1+s₁)-1。|远期利率不能简单用两年即期减一年即期；它反映无套利定价关系，不保证未来实际即期利率等于该值。|画时间线0→1→2，比较“直接投两年”和“先投一年再按远期投一年”的终值。
科目二|随机变量与描述统计|期望为各种结果按概率加权，方差为偏离均值平方的期望，标准差为方差平方根；样本方差常用n-1，须看题设口径。^^协方差看共同变动方向，相关系数＝协方差/(两资产标准差乘积)，无量纲且介于-1与1之间。|方差与标准差单位不同；零相关只排除线性相关，不能一般推出独立；相关系数也不表示因果关系。|例：收益10%与-10%各一半，期望0但风险不为0；均值相同不表示波动相同。
科目二|资本结构与权利|债务资本按约定支付利息和偿还本金，债权人在清算中通常先于股东；权益资本分享剩余收益并承担剩余风险。^^负债利息可能带来税盾，但杠杆增加偿债压力和财务困境成本；现金流量权、表决权可因证券类别或安排而不同。|股东有剩余索取权不意味着优先受偿；杠杆提高可能提高ROE也可能放大亏损，不是越高越好。|分蛋糕顺序看债权与权益；经营收益先满足债务要求，剩余才属于股东。
科目二|股票、存托凭证与可转债|普通股通常有表决权和剩余分配权；优先股在约定分红、清算顺序等方面优先；存托凭证代表境外证券的权益。^^转股比例＝面值/转股价格，转股价值＝股价×转股比例；赎回是发行人权利，回售是投资者权利，转股依约由持有人选择。|优先股不代表所有权利都优先；可转债到价不必当然自动转股，需区分选择权和触发条款。|例：面值100、转股价10，对应10股；股价12时转股价值120。先算比例，再与债券价格及条款比较。
科目二|股本变动与收益风险|配股、增发通常带来新增融资，送股、拆股主要调整份额或股本结构，回购减少流通股数量并使用公司资金。^^股票总收益包括股息与资本利得；系统性风险来自整体市场，非系统性风险来自单一公司或行业等特有因素。|送股、拆股不凭空创造总财富；除权后的价格下降不能直接当作同等幅度投资亏损。|假设1股100元拆成2股，理论上每股50元，持仓总值仍100元；比较收益须同时调整股数和价格。
科目二|基本面与技术分析|基本面按宏观经济、行业竞争与周期、公司财务经营层层分析；技术分析主要研究价格、成交量等市场行为。^^技术分析三假设为市场行为涵盖信息、价格沿趋势运动、历史会重演；方法是否有效取决于市场条件和信息反映程度。|技术图形不是必然预测，基本面估值也不是即时价格保证；技术分析与弱式有效市场的关系应结合信息集合判断。|基本面问“值多少、为什么”，技术分析问“价格量能怎样变化”；案例先识别使用的是哪类信息。
科目二|绝对估值与相对估值|绝对估值折现未来股利或现金流；稳定增长股利模型P₀＝D₁/(r-g)，要求r>g且满足稳定增长假设。^^相对估值PE＝价格/EPS，PB＝价格/每股净资产；需匹配可比公司的行业、增长、风险和会计口径。|股利模型分子是下一期股利D₁，不是直接用D₀；亏损企业PE失去常规比较意义，低倍数不自动代表低估。|例：D₁为2、r10%、g5%，理论值40；模型对r与g很敏感，先验证假设再计算。
科目二|债券条款、收益与风险|债券条款包括面值、票面利率、期限、付息方式、担保及嵌入权利；收益由利息、买卖价差与利息再投资组成。^^可赎回债允许发行人在约定条件下提前偿还，回售债允许持有人按约定卖回；利率下降时发行人赎回动力常增强。|债券票息不等于实际投资收益率；发行人赎回权可能限制投资者价格上涨收益，并带来再投资风险。|先背“谁拥有权利”：赎回给发行人，回售给投资者；再沿现金流分析对价格和风险的影响。
科目二|债券主要风险|利率风险是市场收益率上升导致固定现金流现值下降；再投资风险是收回的利息或本金只能以更低利率再投。^^信用风险含违约及评级恶化；通胀侵蚀购买力，流动性不足增大变现成本，提前赎回改变现金流期限。|利率下降有利于现有固定利率债价格，却不利于利息再投资；信用评级高也不能消除利率风险。|记“价格和再投资方向相反”：利率升，价格跌、再投利率好；利率降，价格涨、再投利率差。
科目二|中国债券市场体系|银行间债券市场、交易所市场、商业银行柜台市场在参与者、交易方式和登记托管结算安排上不同。^^利率债通常以政府信用等为基础，信用债需要分析发行人偿债能力、担保与信用利差；同一发行人也可有不同条款债券。|银行间市场不是证券交易所的一部分；利率债不代表价格不变，信用债也不能仅凭票息高低判断风险。|按“在哪里交易、谁参与、谁托管结算、风险如何定价”四列梳理债券市场。
科目二|债券估值与收益率|价格P＝各期票息现值之和＋到期本金现值；市场收益率高于票面利率时普通附息债通常折价，反之溢价，相等时平价。^^当期收益率只比较年票息与当前市价，到期收益率综合票息、价差和到期现金流；已实现复合收益还取决于再投资条件。|当期收益率忽略资本利得及时间价值；计算YTM要按付息频率统一每期利率、票息与期数。|年息5、价格95，当期收益率5/95≈5.26%；这还没计到期回到面值的价差，因此不能直接当YTM。
科目二|久期、凸性与期限结构|普通零息债麦考利久期等于期限，普通附息债一般小于期限；年付息修正久期D*＝D/(1+y)，多次付息须按每期收益率调整。^^ΔP/P≈-D*Δy，1基点＝0.01%；凸性补充曲线弯曲影响。收益率曲线可为上升、下降、水平或拱形。|久期近似式输出价格变动比例而非金额；收益率升100基点须代0.01，不能代100。含权债不能机械套用普通债结论。|例：D*=4，收益率升0.5个百分点，价格约跌2%；利率变动大时还要考虑凸性近似误差。
科目二|货币工具与回购|回购实质是以证券作安排的短期资金融通：正回购方先取得资金，逆回购方先提供资金；到期按约返还。^^质押式回购证券所有权不转移，买断式回购在首期交易转移所有权；短债、商业票据、同业存单等按发行主体和信用区分。|正逆名称从交易方自身看，不等于市场上涨或下跌方向；期限短、抵质押充分也不代表完全没有信用和流动性风险。|现金箭头流入自己→正回购；流出自己→逆回购。先画两期现金与证券交换方向再判断。
科目二|衍生工具特征|远期、期货、期权、互换价值依赖股票、利率、汇率、商品等基础变量；可用于套保、套利或投机。^^常有跨期性、杠杆性和复杂风险，场内一般更标准化，场外更定制化并关注对手方信用风险。|不是所有衍生合约都具有同样的权利义务；期权买方有权利，远期期货通常双方均负履约义务。|先识别“标的—合约类型—交易场所—多空方向”，再分析收益和风险，避免只凭杠杆二字判断全部特征。
科目二|远期与持有成本定价|远期由双方约定未来某日按约定价格交易，通常非标准化且在场外成交，条件可定制。^^无收益资产按相应复利口径，远期价反映现价和融资成本；有持有收益时扣除其影响，有储存成本时加上。|签约时的远期交割价格不等于合约之后的市场价值；无套利理论价不等于对未来现货价格的保证预测。|无收益资产现价100、年利率5%，一年简单情形远期理论价105；通过“买现货并融资持有”理解成本。
科目二|期货制度与功能|期货合约标准化，在交易所交易；保证金担保履约，每日无负债结算按每日结算价结算盈亏并调整保证金。^^担心未来买入价格上涨可买入套保，担心未来出售价格下跌可卖出套保；规模、期限和标的相关性需要匹配。|保证金不是最大损失上限；套期保值降低风险但仍有基差、期限和数量匹配误差，不能保证完全对冲。|未来要买→怕涨→买期货；手里有货要卖→怕跌→卖期货。把现货损益与期货损益并排看。
科目二|期权分类与多空盈亏|看涨到期买方损益＝max(S-K,0)-权利金，看跌＝max(K-S,0)-权利金；卖方损益为对应买方的相反数。^^看涨盈亏平衡点K+权利金，看跌K-权利金；裸卖看涨理论损失可无限，普通非负标的裸卖看跌损失有上限但可能很大。|买方最大损失为权利金不等于卖方最大损失也相同；是否行权看内在价值为正，不必等到总交易盈利。|看涨K100、权利金5：到期S103应行权但净亏2，S110净赚5；区分行权收益与扣费后损益。
科目二|期权价值与影响因素|期权价值＝内在价值＋时间价值；看涨内在价值max(S-K,0)，看跌max(K-S,0)，到期时剩余时间价值为0。^^其他条件相同，标的价格上升利于看涨、不利于看跌；执行价格上升相反，波动率上升通常提高普通期权价值。|期权实值不等于持有者净盈利；剩余期限、利率、分红影响需区分欧式美式与看涨看跌，不可全部记成同方向。|把标的价与执行价画成天平：看涨希望S高K低，看跌希望S低K高；不确定性更大提升选择权价值。
科目二|互换类型|利率互换通常在同一币种名义本金基础上交换固定与浮动利息，一般不交换本金；货币互换涉及不同币种的本金和利息安排。^^股票收益互换一方支付股票或指数收益，另一方支付固定或浮动现金流；具体是否净额结算按合同。|利率互换的名义本金不等于实际转移本金；互换改变风险敞口，但仍有对手方、市场和流动性风险。|记“利率换息、货币换币、股票换收益”，再看每期由谁支付哪种现金流。
科目二|另类投资优势与局限|另类资产与传统股债相关性可能较低，可拓宽收益来源；不动产、商品、对冲基金等具有不同风险驱动。^^常见限制包括流动性较低、信息不透明、估值不频繁、结构复杂、管理费及业绩报酬较高。|低相关不等于负相关或永远分散有效；估值少导致账面波动小不代表真实经济风险小。|比较时看“钱多久能取、价格多久更新、费用怎样收、风险来自哪里”，不能只看历史回报。
科目二|大宗商品投资|商品包括能源、金属、农产品，受供需、库存、季节、地缘因素等影响；可通过实物、期货、相关企业股票或基金参与。^^期货持仓需关注到期移仓，远近月价差会形成展期收益或成本；商品公司股票还叠加公司经营风险。|商品期货收益不等于现货价格涨幅；购买黄金矿业股不等于直接持有黄金，经营和股票市场风险仍在。|按“现货涨跌＋合约展期＋资金收益”理解期货投资，再把公司股票的经营因素单独列出。
科目二|不动产投资|直接投资取得物业，间接投资可通过有限合伙、基金或REITs；回报通常由租金现金流和出售增值组成。^^风险受地段、出租率、租约、维护费用、融资成本、政策与估值影响，具有固定性、异质性和交易成本高等特征。|两处物业不能仅凭面积视为同质；上市REITs份额流动性较好不意味着底层不动产容易快速出售。|估算回报先看租金减运营成本，再看融资和退出价格；区分经营现金流与账面资产升值。
科目二|对冲基金与策略|股票多空同时持多头与空头；事件驱动围绕并购重组等事件；相对价值利用价格关系偏差；宏观策略判断利率、汇率等宏观趋势。^^通常面向特定投资者，策略较灵活，可运用杠杆、卖空和衍生工具，收费常含管理费与业绩报酬。|名字含“对冲”不保证风险低或市场中性；市场中性策略也仍有模型、流动性、杠杆和对手方风险。|先识别利润源：公司方向、多空价差、事件兑现或宏观走势；再问用了何种杠杆和退出限制。
科目二|基准与证券指数|价格加权受股价影响，市值加权受市值影响，等权赋予样本相等初始权重；指数需要样本选择、基期、基点和维护规则。^^价格指数主要反映价格变动，全收益指数计入分红再投资；业绩比较须保持总收益和价格收益口径一致。|指数点位不是基金份额净值；高价股在价格加权指数中权重大，不必是市值最大；纳斯达克100排除金融企业。|比较基金与指数先问“是否含分红、什么权重、覆盖哪个市场”，不直接拿两个点位高低比较涨幅。
科目二|基准分类与选择|SAMURAI七项：明确性、适当性、可衡量性、无歧义性、反映当前投资见解、责任归属、可投资性。^^总收益可分市场、风格、主动管理效应；与市场风格不同的基金应选择匹配风格的基准，不能靠不合适基准夸大能力。|绝对收益基准是目标不是保底；基金涨幅高于大盘未必有选股能力，可能只是行业或风格暴露不同。|科技成长基金优先找匹配科技成长特征的基准；先剔除市场与风格影响，再评价主动管理贡献。
科目二|标准化与定制化流程|标准化先形成产品策略，再由投资者选择；定制化首要任务是了解并量化客户目标与限制，不是直接建立组合。^^定制流程分规划、执行、反馈：形成预期和政策说明书，实施建仓调仓，监控、评价并再平衡。|投资管理不是一次制定比例后永久不变；先做战略配置再问客户需求，颠倒了定制化流程顺序。|记“先问需求→形成政策→建仓执行→反馈调整”，再平衡属于持续管理而非重新销售产品。
科目二|组织分工与投资流程|投资决策委员会负责总体投资决策，研究部门分析证券与市场，投资部门按授权构建组合，交易部门集中执行并反馈。^^集中交易、岗位分离、授权限额和异常监测共同控制操作与利益冲突风险，绩效评估反馈到策略调整。|交易员不能随意改变基金经理的投资目标和数量；独立执行不是拒绝沟通，异常情况应及时报告。|一笔投资顺序“研究建议→投资决策→交易执行→风险和业绩反馈”，每一步既有权限也有留痕责任。
科目二|均值方差与分散化|两资产预期收益w₁E₁+w₂E₂；方差w₁²σ₁²+w₂²σ₂²+2w₁w₂σ₁σ₂ρ，相关性越低通常越有分散空间。^^可行集中同等风险收益最高或同等收益风险最低的组合构成有效前沿；投资者以偏好选择其上的组合。|组合标准差通常不是各资产标准差直接加权；“证券数量多”不等于分散充分，完全正相关削弱分散效果。|50%投10%收益资产、50%投4%资产，组合期望7%；风险还要知道两者标准差和相关系数才能计算。
科目二|CAL、CML与CAPM|CAL是无风险资产与某风险组合的配置线，CML使用市场组合；SML按β为单项证券及组合给出要求收益。^^CAPM的β＝Cov(Ri,Rm)/Var(Rm)，β=1与市场同等系统性敏感度，β=0不代表一定没有总风险。|CML横轴为标准差，适用于有效组合；SML横轴为β。不能用某证券总波动直接代替CAPM中的β。|Rf3%、市场期望9%、β1.2，要求收益＝3%+1.2×6%=10.2%；先算市场风险溢价再乘β。
科目二|系统性风险与套利定价|系统性风险来自宏观经济、市场利率等共同冲击，同市场内持股分散不能完全消除；个别公司风险可通过组合降低。^^套利定价理论以多个共同因子解释收益，预期收益由各因子风险暴露与风险溢价组合而来，不限于单一市场因子。|β只刻画相对市场的系统性敏感度，不是总风险；APT不等于保证任何所谓价差交易均无风险。|把收益想成“多个共同因子贡献＋个体因素”；分散主要削弱个体部分，共同冲击仍会影响组合。
科目二|市场有效性与行为金融|弱式有效反映历史价格和交易量，半强式反映全部公开信息，强式反映公开及非公开信息；三个信息集合逐级包含。^^行为偏差包括过度自信、损失厌恶、锚定、心理账户和羊群行为等，有限理性与套利限制可能影响价格。|市场有效不等于价格永远不波动、所有投资者都理性；弱式有效下不能仅靠历史价格持续取得异常收益，但不直接否定基本面信息价值。|记“历史→公开→全部”；行为题先辨是过度相信自己、不愿认亏、依赖参考点还是盲从他人。
科目二|指数跟踪与跟踪误差|跟踪偏离度为每期基金收益减基准收益，跟踪误差为这些收益差的标准差；完全复制、抽样或优化复制影响偏离来源。^^现金留存、费用、分红、成分调整、交易冲击、申赎与执行时点都可能产生跟踪差异。|跟踪误差低不保证每期跑赢，也不代表总风险低；基金持续每期落后固定幅度，其平均偏离非零但跟踪误差可很小。|例：连续三期都落后1个百分点，跟踪误差为0，累计表现仍落后；区分“差多少”与“差值是否稳定”。
科目二|主动股票与债券组合|主动股票管理通过选股、择时、行业和风格配置寻求超额收益；债券管理调整久期、期限结构、信用、流动性和杠杆。^^现金流配比使资产各期现金流匹配负债支付；久期配比匹配资产负债久期，但不要求每笔到期期限相同。|主动管理并非保证超额收益；免疫策略控制特定利率风险，不代表消除信用、流动性及所有曲线变化风险。|预期利率上升通常缩短久期，预期下降通常延长；有固定支付义务时先看现金流与负债匹配。
科目二|战略与战术配置|战略资产配置依据长期收益目标、风险能力和约束设定比例；战术配置根据短期估值或市场判断暂时偏离长期比例。^^核心卫星以稳定核心配合主动卫星，风险平价关注各资产风险贡献而非资金均分，再平衡把组合调回目标安排。|战术调整不是任意改变长期目标；50%股票和50%债券不一定各承担一半风险，资金权重与风险权重不同。|把战略看成长期路线，战术看成阶段调整；价格变化导致比例偏离后，再平衡决定如何恢复纪律。
科目二|可持续投资与ESG|E为环境，如气候、资源、污染；S为社会，如劳动、客户、供应链；G为治理，如董事会、薪酬、股东权利和合规。^^策略包括ESG整合、负面或正面筛选、主题投资、影响力投资、积极所有权；积极所有权通过投票和沟通推动改变。|ESG高评级不保证高收益，也不等于环保一项好就全面好；不同评级因数据、权重和方法可得不同结论。|用“环境影响、人与社会、公司怎样治理”分类；区分排除某些资产、选择主题、参与治理三种动作。
科目二|指令驱动与保证金交易|市价指令重成交及时性但价格不确定，限价指令约束最差价格但可能不成交；止损指令达到触发条件后按规则转为执行指令。^^融资为借钱买证券，融券为借证券卖出；杠杆放大损益，价格不利变动可触发追加保证金或强制平仓。|限价买入设最高愿付价，限价卖出设最低愿卖价；止损触发价不保证实际成交价，融券损失可能随上涨扩大。|两条线分开记：“指令管怎么成交，保证金管履约风险”；卖空先卖后买回，不是先买后卖。
科目二|最佳执行与交易成本|最佳执行综合价格、费用、速度、成交和结算可能性、数量及市场条件；不能只选择报价看似最优却无法成交的方案。^^显性成本包括佣金、税费等，隐性成本包括买卖价差、市场冲击和机会成本；交易延误也可能损失机会。|成交价优于指令限价不代表综合执行一定最好；低佣金不等于低总成本，过快大单成交可能放大冲击。|大单拆分可减少冲击，但拖延增加价格变动和未成交风险；比较的是综合结果而非单个费用。
科目二|算法交易|TWAP按时间安排交易，VWAP参照市场成交量分布安排交易；算法输入包括目标量、时间窗、价格约束和参与率等。^^策略在市场冲击、机会成本和成交完成率之间权衡，需实时监控异常市场及系统风险。|算法交易不等于自动赚钱或无须人工风控；TWAP不是保证每笔价格相同，VWAP也不保证必定优于市场均价。|记“TWAP跟时间、VWAP跟量”；市场突然变动时仍应按权限和风控要求调整或暂停执行。
科目二|交易管理与风险控制|交易前检查权限、限额、合规与资金证券条件，交易中复核指令并监控异常，交易后核对成交、结算与执行质量。^^集中交易使投资决策和执行相分离，交易员执行授权指令并及时反馈，风险和绩效信息回流至组合管理。|交易员独立不是有权擅自改变投资方向或数量；异常指令不能仅因来自基金经理就不经检查执行。|背“三段控制：前审、中控、后核”，任何修改都应遵守授权与记录要求。
科目二|投资风险及传导|市场、信用、流动性、操作等风险可交叉传导；风险管理持续识别、测量、监控、控制并报告。^^净值下跌可能引发赎回，赎回迫使折价出售，折价出售又压低净值，形成流动性负反馈。|某一种风险指标无法覆盖全部风险；风险已经分散也不等于极端行情中资产相关性不会上升。|用箭头画“冲击→亏损→赎回→折价卖出→进一步亏损”，措施需同时考虑资产端和资金端。
科目二|事前、事后与风险指标|事前分析基于当前持仓、风险因子和未来情景，事后分析基于已实现收益；方差、标准差和跟踪误差可在不同方法下用于两者。^^波动率衡量总风险，β衡量系统性敏感度，跟踪误差衡量相对基准风险；指标比较须统一期间与频率。|不能把某一指标名称永久限定为只事前或只事后；年化标准差与月收益率不能直接搭配作风险调整。|先问要回答“总体波动、相对市场敏感还是偏离基准”，再选择σ、β或跟踪误差。
科目二|主动比重与下行风险|主动比重＝1/2×Σ持仓权重与基准权重差的绝对值，衡量配置不同程度；最大回撤为期间先峰后谷的最大跌幅。^^下行标准差只关注低于目标收益的偏离；最大回撤描述损失幅度，不描述这种损失发生的次数。|主动比重高不保证收益高；最大回撤必须有时间顺序，不能用先出现的最低点与后来最高点倒算。|净值1→1.2→0.9→1.1，最大回撤(1.2-0.9)/1.2=25%；即使期末盈利仍经历了显著回撤。
科目二|VaR、ES与压力测试|VaR是给定持有期和置信水平的损失分位数，常用参数法、历史模拟、蒙特卡洛估计；ES衡量超过VaR阈值的尾部平均损失。^^压力测试设定极端但有意义的市场、信用或流动性场景，关注组合承压结果，通常不等同于为每一情景赋精确概率。|VaR不是绝对最大损失；99%置信水平不意味着剩余1%的损失大小已被限制，尾部仍可能远超VaR。|例：1日95% VaR为100万元，指模型下损失不超过100万元的概率约95%；ES进一步问剩余尾部平均损失多大。
科目二|按基金类型管理风险|股票基金看集中度、行业与风格；债基看久期、信用与杠杆；货基看平均剩余期限、剩余存续期、回购融资及信用质量。^^指数基金看跟踪误差，ETF还关注申赎清单及交易机制，QDII关注汇率、国别、海外市场和跨境结算风险。|不能用跟踪误差概括货基全部风险，也不能用股票基金的β替代债券信用分析；基金名称不能代替实际持仓检查。|做选择题用“股看集中、债看久信、货看期限、指看跟踪、跨境看汇率”快速定位再核对选项。
